expiry_days,expiry_years,strike,moneyness,option_type,market_price,use_for_iv,iv,pct_error_flat_vol,pct_error_svi_vol
1,0.0027397260273972603,725.0,0.9677376517192163,put,0.24,True,0.36370513177495395,58.54260904536511,5.92469589519797
1,0.0027397260273972603,726.0,0.9690724622733118,put,0.29,True,0.36463130693657453,57.062767398252504,4.520460409593614
1,0.0027397260273972603,727.0,0.9704072728274072,put,0.3,True,0.3542755206106727,48.371701946649395,0.7720251622833074
1,0.0027397260273972603,728.0,0.9717420833815027,put,0.33,True,0.3482662296076445,41.96875069644045,0.2724121949252288
1,0.0027397260273972603,729.0,0.9730768939355982,put,0.4,True,0.3496651683313874,41.15565719415351,9.222997209154121
1,0.0027397260273972603,730.0,0.9744117044896936,put,0.41,True,0.3379481591642461,29.850479054819722,2.5639338686055284
1,0.0027397260273972603,731.0,0.9757465150437891,put,0.49,True,0.3383851807467744,28.690888808951488,10.067061397009697
1,0.0027397260273972603,732.0,0.9770813255978845,put,0.58,True,0.33845196452625753,27.227260086881987,15.966623656088267
1,0.0027397260273972603,733.0,0.9784161361519801,put,0.63,True,0.33100215024862734,19.523326035286143,14.20521603747566
1,0.0027397260273972603,734.0,0.9797509467060755,put,0.74,True,0.330747764290113,18.15599915347248,18.783817584111727
1,0.0027397260273972603,735.0,0.981085757260171,put,0.83,True,0.326243297731018,13.307935681437666,19.275573629593172
1,0.0027397260273972603,736.0,0.9824205678142665,put,0.92,True,0.3204904663720852,7.5776832262440585,18.602088512905063
1,0.0027397260273972603,737.0,0.9837553783683619,put,1.01,True,0.31359063941522886,1.0405557099601894,16.925544638561664
1,0.0027397260273972603,738.0,0.9850901889224574,put,1.11,True,0.306617870645229,5.296864688829967,15.107450873940694
1,0.0027397260273972603,739.0,0.9864249994765528,put,1.25,True,0.30227873456822246,8.786258347640796,15.153794847913105
1,0.0027397260273972603,740.0,0.9877598100306484,put,1.43,True,0.2999544375288035,10.083012188717728,16.359681066442892
1,0.0027397260273972603,741.0,0.9890946205847438,put,1.62,True,0.2966551640091672,11.939129458887109,16.593404793938642
1,0.0027397260273972603,742.0,0.9904294311388393,put,1.8,True,0.29081736908113054,15.498361294945715,15.074695145987803
1,0.0027397260273972603,743.0,0.9917642416929348,put,2.01,True,0.28564694366637217,18.020581425102332,13.861899235864511
1,0.0027397260273972603,744.0,0.9930990522470302,put,2.24,True,0.2801736737317278,20.284444287951523,12.390571579831857
1,0.0027397260273972603,745.0,0.9944338628011257,put,2.52,True,0.27634141836825254,20.893710429211097,11.701706555548629
1,0.0027397260273972603,746.0,0.9957686733552211,put,2.77,True,0.2684553125012163,23.81121140657713,8.929307744084584
1,0.0027397260273972603,747.0,0.9971034839093166,put,3.09,True,0.2632138835947896,24.409015768952553,7.498342112616001
1,0.0027397260273972603,748.0,0.9984382944634121,put,3.47,True,0.25961515540855834,23.66123986630777,6.769959184699251
1,0.0027397260273972603,749.0,0.9997731050175076,put,3.86,True,0.2542533267928971,23.582885775477124,5.292803847936597
2,0.005479452054794521,750.0,1.001107915571603,call,4.11,True,0.20108679102867386,59.900910348109484,1.726446857296747
2,0.005479452054794521,751.0,1.0024427261256985,call,3.57,True,0.19716663571773682,70.98557464320072,0.5994769091103673
2,0.005479452054794521,752.0,1.003777536679794,call,3.09,True,0.194259273951305,83.14757829246234,0.29528817368266014
2,0.005479452054794521,753.0,1.0051123472338894,call,2.65,True,0.19142288552480902,97.62045971432781,1.5310757418298138
2,0.005479452054794521,754.0,1.006447157787985,call,2.23,True,0.18764176022231968,116.9035316863922,4.141198076468916
2,0.005479452054794521,755.0,1.0077819683420803,call,1.87,True,0.18485905382660847,138.44540196683982,6.594242633883803
2,0.005479452054794521,756.0,1.009116778896176,call,1.55,True,0.1821431267701484,164.67529977644006,9.795096752738951
2,0.005479452054794521,757.0,1.0104515894502712,call,1.27,True,0.1795584298956707,196.620990062483,13.842813252383046
2,0.005479452054794521,758.0,1.0117864000043668,call,1.05,True,0.17854871189062343,228.78615595586237,16.45860900517575
2,0.005479452054794521,759.0,1.0131212105584624,call,0.8,True,0.1731554258600481,294.6734576007991,28.770463656877602
2,0.005479452054794521,760.0,1.0144560211125577,call,0.67,True,0.1743406168635873,330.1278136195823,29.10401044976113
2,0.005479452054794521,761.0,1.0157908316666533,call,0.53,True,0.17284871522788056,395.28140529704785,36.68056737141907
2,0.005479452054794521,762.0,1.0171256422207486,call,0.42,True,0.17203581628264988,468.1165555980561,44.171801662338346
2,0.005479452054794521,763.0,1.0184604527748442,call,0.32,True,0.1700719566299539,576.38091494171,57.99390315907935
2,0.005479452054794521,764.0,1.0197952633289395,call,0.23,True,0.16663448006613024,751.8372126403175,83.47657545812916
2,0.005479452054794521,765.0,1.0211300738830351,call,0.2,True,0.17040667594139833,784.8694714926921,76.19745103782945
2,0.005479452054794521,766.0,1.0224648844371307,call,0.14,True,0.16710978334432713,1039.412551850723,110.45830451894022
2,0.005479452054794521,767.0,1.023799694991226,call,0.11,True,0.16786868853429088,1204.3224582357414,124.40771285656976
2,0.005479452054794521,768.0,1.0251345055453216,call,0.09,True,0.16986436626486762,1330.7593682877318,130.4130364524958
2,0.005479452054794521,769.0,1.026469316099417,call,0.08,True,0.174076129218873,1341.4770387007889,118.4990350992999
2,0.005479452054794521,770.0,1.0278041266535125,call,0.07,True,0.17775108875786813,1372.109318431275,111.33122308370895
2,0.005479452054794521,771.0,1.0291389372076079,call,0.05,True,0.17619343952008665,1737.6176966897044,151.52306383549214
2,0.005479452054794521,772.0,1.0304737477617034,call,0.04,True,0.17763368339557103,1943.5915875576427,168.6197500721743
2,0.005479452054794521,773.0,1.0318085583157988,call,0.05,True,0.18986638032357228,1351.2770713950258,84.59063936204244
2,0.005479452054794521,774.0,1.0331433688698943,call,0.04,True,0.1909151616043768,1506.791824432747,99.328000324015
2,0.005479452054794521,775.0,1.03447817942399,call,0.03,True,0.19050409353870398,1793.331288039472,130.95441107290782
2,0.005479452054794521,776.0,1.0358129899780852,call,0.02,True,0.18774480527446194,2404.213471016925,202.88727925846354
2,0.005479452054794521,777.0,1.0371478005321808,call,0.03,True,0.20320835200957724,1368.7748953807754,77.64104219482492
2,0.005479452054794521,778.0,1.0384826110862762,call,0.03,True,0.20951425334406226,1189.2845128748102,57.2559216016778
2,0.005479452054794521,779.0,1.0398174216403717,call,0.03,True,0.2157905875559193,1029.1654683554952,40.080611178552424
2,0.005479452054794521,780.0,1.041152232194467,call,0.03,True,0.22203837524310435,886.6857462349187,25.55479501938176
2,0.005479452054794521,781.0,1.0424870427485626,call,0.03,True,0.22825849649676141,760.2207714682208,13.222379890599953
2,0.005479452054794521,782.0,1.0438218533026582,call,0.03,True,0.23445174652794987,648.2528319956928,2.711623719979887
2,0.005479452054794521,783.0,1.0451566638567535,call,0.03,True,0.24061895655856633,549.3696050228101,6.2810023799752175
2,0.005479452054794521,784.0,1.046491474410849,call,0.03,True,0.2467605992658968,462.2618956698015,14.003869432595668
2,0.005479452054794521,785.0,1.0478262849649445,call,0.02,True,0.2417089892355678,628.5810452116692,19.008914779632487
2,0.005479452054794521,786.0,1.04916109551904,call,0.02,True,0.24758458063025146,527.9505158439757,10.371246962905897
2,0.005479452054794521,787.0,1.0504959060731354,call,0.02,True,0.2534383271753751,439.97180289615085,2.8737597734163933
2,0.005479452054794521,788.0,1.051830716627231,call,0.02,True,0.25927076673986893,363.24797519832646,3.655243479692063
2,0.005479452054794521,789.0,1.0531655271813265,call,0.02,True,0.2650822779004766,296.5076860043037,9.358353781811958
2,0.005479452054794521,790.0,1.0545003377354218,call,0.01,True,0.25275057042482696,577.1959024517394,71.29120431885082
2,0.005479452054794521,791.0,1.0558351482895174,call,0.02,True,0.2766448695301143,188.47676053814106,18.74274710573545
2,0.005479452054794521,792.0,1.0571699588436128,call,0.02,True,0.2823966082114929,145.20562707848194,22.60679992830408
2,0.005479452054794521,793.0,1.0585047693977083,call,0.02,True,0.28812914969452114,107.94216912964902,26.016801228065844
2,0.005479452054794521,794.0,1.0598395799518037,call,0.02,True,0.2938431040106999,75.93280482076423,29.0321309017604
2,0.005479452054794521,795.0,1.0611743905058992,call,0.02,True,0.2995384237657418,48.50562873680583,31.70316566494016
2,0.005479452054794521,796.0,1.0625092010599948,call,0.02,True,0.30521561933485675,25.06352762001738,34.07279783492303
2,0.005479452054794521,797.0,1.0638440116140901,call,0.02,True,0.31087536696920043,5.077581244576999,36.17767769097049
2,0.005479452054794521,798.0,1.0651788221681857,call,0.01,True,0.2958946436127785,76.16156837698239,23.901534740276094
2,0.005479452054794521,799.0,1.066513632722281,call,0.02,True,0.32214242729188625,26.33788528716865,39.714505670966815
2,0.005479452054794521,800.0,1.0678484432763766,call,0.02,True,0.32775037291062536,38.539031644142426,41.19684739062981
